"","code_muni","Área Total","Sexo do produtor","% de Área","Número de estabelecimentos agropecuários","Área média por propriedade"
"1",1100015,6258,"Mulheres",1.3,338,18.51
"2",1100023,18235,"Mulheres",3.9,512,35.62
"3",1100031,4324,"Mulheres",0.9,129,33.52
"4",1100049,13660,"Mulheres",2.9,471,29
"5",1100056,793,"Mulheres",0.2,72,11.01
"6",1100064,7616,"Mulheres",1.6,245,31.09
"7",1100072,6261,"Mulheres",1.3,212,29.53
"8",1100080,9976,"Mulheres",2.1,247,40.39
"9",1100098,7439,"Mulheres",1.6,241,30.87
"10",1100106,3423,"Mulheres",0.7,91,37.62
"11",1100114,20300,"Mulheres",4.4,562,36.12
"12",1100122,14054,"Mulheres",3,384,36.6
"13",1100130,27230,"Mulheres",5.9,765,35.59
"14",1100148,7102,"Mulheres",1.5,290,24.49
"15",1100155,10898,"Mulheres",2.3,310,35.15
"16",1100189,8268,"Mulheres",1.8,257,32.17
"17",1100205,70437,"Mulheres",15.2,1020,69.06
"18",1100254,7427,"Mulheres",1.6,318,23.36
"19",1100262,1896,"Mulheres",0.4,60,31.6
"20",1100288,6784,"Mulheres",1.5,261,25.99
"21",1100296,4803,"Mulheres",1,132,36.39
"22",1100304,4042,"Mulheres",0.9,310,13.04
"23",1100320,6250,"Mulheres",1.3,275,22.73
"24",1100338,19599,"Mulheres",4.2,347,56.48
"25",1100346,6911,"Mulheres",1.5,228,30.31
"26",1100379,4091,"Mulheres",0.9,224,18.26
"27",1100403,16147,"Mulheres",3.5,444,36.37
"28",1100452,14133,"Mulheres",3,384,36.8
"29",1100502,2683,"Mulheres",0.6,125,21.46
"30",1100601,4037,"Mulheres",0.9,112,36.04
"31",1100700,6747,"Mulheres",1.5,168,40.16
"32",1100809,10275,"Mulheres",2.2,271,37.92
"33",1100908,1725,"Mulheres",0.4,57,30.26
"34",1100924,4181,"Mulheres",0.9,140,29.86
"35",1100940,10193,"Mulheres",2.2,325,31.36
"36",1101005,11180,"Mulheres",2.4,279,40.07
"37",1101104,4860,"Mulheres",1,143,33.99
"38",1101203,4162,"Mulheres",0.9,145,28.7
"39",1101302,4051,"Mulheres",0.9,172,23.55
"40",1101401,8940,"Mulheres",1.9,229,39.04
"41",1101435,4292,"Mulheres",0.9,148,29
"42",1101450,3603,"Mulheres",0.8,96,37.53
"43",1101468,1155,"Mulheres",0.2,30,38.5
"44",1101476,1703,"Mulheres",0.4,55,30.96
"45",1101484,1460,"Mulheres",0.3,79,18.48
"46",1101492,13008,"Mulheres",2.8,320,40.65
"47",1101500,4583,"Mulheres",1,194,23.62
"48",1101559,2486,"Mulheres",0.5,89,27.93
"49",1101609,13328,"Mulheres",2.9,430,31
"50",1101708,4378,"Mulheres",0.9,212,20.65
"51",1101757,8183,"Mulheres",1.8,227,36.05
"52",1101807,5059,"Mulheres",1.1,144,35.13
